epoch,generator,accuracy,auc,samples
1,imagenet_ai_0419_biggan,0.95,0.9970300000000001,1000
1,imagenet_ai_0419_vqdm,0.916,0.970812,1000
1,imagenet_ai_0424_sdv5,0.909,0.9751580000000001,1000
1,imagenet_ai_0424_wukong,0.837,0.9236639999999999,1000
1,imagenet_ai_0508_adm,0.853,0.937218,1000
1,imagenet_glide,0.939,0.9946919999999999,1000
1,imagenet_midjourney,0.888,0.962506,1000
2,imagenet_ai_0419_biggan,0.953,0.9964280000000001,1000
2,imagenet_ai_0419_vqdm,0.914,0.97198,1000
2,imagenet_ai_0424_sdv5,0.923,0.981384,1000
2,imagenet_ai_0424_wukong,0.851,0.9374979999999999,1000
2,imagenet_ai_0508_adm,0.866,0.946334,1000
2,imagenet_glide,0.956,0.9949020000000001,1000
2,imagenet_midjourney,0.904,0.968574,1000
3,imagenet_ai_0419_biggan,0.955,0.99582,1000
3,imagenet_ai_0419_vqdm,0.924,0.97551,1000
3,imagenet_ai_0424_sdv5,0.942,0.9854799999999999,1000
3,imagenet_ai_0424_wukong,0.875,0.950738,1000
3,imagenet_ai_0508_adm,0.895,0.962142,1000
3,imagenet_glide,0.96,0.9945200000000001,1000
3,imagenet_midjourney,0.912,0.974516,1000
4,imagenet_ai_0419_biggan,0.959,0.995348,1000
4,imagenet_ai_0419_vqdm,0.932,0.978522,1000
4,imagenet_ai_0424_sdv5,0.947,0.9873500000000001,1000
4,imagenet_ai_0424_wukong,0.892,0.9593700000000001,1000
4,imagenet_ai_0508_adm,0.918,0.975438,1000
4,imagenet_glide,0.964,0.9944120000000001,1000
4,imagenet_midjourney,0.929,0.9777020000000001,1000
5,imagenet_ai_0419_biggan,0.961,0.9951279999999999,1000
5,imagenet_ai_0419_vqdm,0.93,0.9799439999999999,1000
5,imagenet_ai_0424_sdv5,0.955,0.9885240000000001,1000
5,imagenet_ai_0424_wukong,0.892,0.9647899999999999,1000
5,imagenet_ai_0508_adm,0.936,0.9827659999999999,1000
5,imagenet_glide,0.965,0.994724,1000
5,imagenet_midjourney,0.929,0.9802300000000002,1000
6,imagenet_ai_0419_biggan,0.96,0.995446,1000
6,imagenet_ai_0419_vqdm,0.937,0.981448,1000
6,imagenet_ai_0424_sdv5,0.955,0.9893479999999999,1000
6,imagenet_ai_0424_wukong,0.896,0.967546,1000
6,imagenet_ai_0508_adm,0.941,0.98635,1000
6,imagenet_glide,0.968,0.9952719999999999,1000
6,imagenet_midjourney,0.933,0.98185,1000
7,imagenet_ai_0419_biggan,0.962,0.995544,1000
