epoch,generator,accuracy,auc,samples
1,imagenet_ai_0419_biggan,0.913,0.9961399999999999,1000
1,imagenet_ai_0419_vqdm,0.737,0.823726,1000
1,imagenet_ai_0424_sdv5,0.817,0.901358,1000
1,imagenet_ai_0424_wukong,0.74,0.848106,1000
1,imagenet_ai_0508_adm,0.759,0.8467460000000001,1000
1,imagenet_glide,0.904,0.971832,1000
1,imagenet_midjourney,0.876,0.953934,1000
2,imagenet_ai_0419_biggan,0.917,0.9972880000000001,1000
2,imagenet_ai_0419_vqdm,0.733,0.841164,1000
2,imagenet_ai_0424_sdv5,0.844,0.91813,1000
2,imagenet_ai_0424_wukong,0.774,0.872198,1000
2,imagenet_ai_0508_adm,0.787,0.8753559999999999,1000
2,imagenet_glide,0.914,0.975336,1000
2,imagenet_midjourney,0.893,0.9634060000000001,1000
3,imagenet_ai_0419_biggan,0.916,0.998328,1000
3,imagenet_ai_0419_vqdm,0.774,0.867956,1000
3,imagenet_ai_0424_sdv5,0.857,0.9347460000000001,1000
3,imagenet_ai_0424_wukong,0.808,0.901196,1000
3,imagenet_ai_0508_adm,0.846,0.916432,1000
3,imagenet_glide,0.921,0.9808919999999999,1000
3,imagenet_midjourney,0.899,0.968926,1000
4,imagenet_ai_0419_biggan,0.935,0.9978880000000001,1000
4,imagenet_ai_0419_vqdm,0.772,0.884586,1000
4,imagenet_ai_0424_sdv5,0.87,0.9473219999999999,1000
4,imagenet_ai_0424_wukong,0.834,0.9241079999999999,1000
4,imagenet_ai_0508_adm,0.863,0.9421860000000001,1000
4,imagenet_glide,0.941,0.984916,1000
4,imagenet_midjourney,0.905,0.9698800000000001,1000
5,imagenet_ai_0419_biggan,0.927,0.996838,1000
5,imagenet_ai_0419_vqdm,0.799,0.894304,1000
5,imagenet_ai_0424_sdv5,0.886,0.95404,1000
5,imagenet_ai_0424_wukong,0.863,0.9365479999999999,1000
5,imagenet_ai_0508_adm,0.883,0.955606,1000
5,imagenet_glide,0.943,0.986584,1000
5,imagenet_midjourney,0.898,0.968434,1000
6,imagenet_ai_0419_biggan,0.931,0.995992,1000
6,imagenet_ai_0419_vqdm,0.801,0.8990399999999998,1000
6,imagenet_ai_0424_sdv5,0.891,0.959966,1000
6,imagenet_ai_0424_wukong,0.886,0.94362,1000
6,imagenet_ai_0508_adm,0.894,0.9610700000000001,1000
6,imagenet_glide,0.942,0.98736,1000
6,imagenet_midjourney,0.906,0.9693139999999999,1000
7,imagenet_ai_0419_biggan,0.934,0.996088,1000
7,imagenet_ai_0419_vqdm,0.811,0.9049400000000001,1000
7,imagenet_ai_0424_sdv5,0.892,0.9613940000000001,1000
7,imagenet_ai_0424_wukong,0.884,0.945722,1000
7,imagenet_ai_0508_adm,0.903,0.964818,1000
7,imagenet_glide,0.945,0.988998,1000
7,imagenet_midjourney,0.9,0.9692379999999999,1000
8,imagenet_ai_0419_biggan,0.938,0.9960279999999999,1000
8,imagenet_ai_0419_vqdm,0.819,0.90843,1000
8,imagenet_ai_0424_sdv5,0.897,0.9647719999999999,1000
