epoch,train_loss,train_acc,val_acc,val_auc
1,0.6840860843658447,0.728,0.968,0.968
2,0.6495853066444397,0.939,0.98,0.98
3,0.6086497083306313,0.95325,0.984,0.984
4,0.5599261447787285,0.96375,0.987,0.987
5,0.5045848190784454,0.97325,0.992,0.992
6,0.446121908724308,0.979,0.994,0.994
7,0.3857935070991516,0.9815,0.994,0.994
8,0.326937984675169,0.985,0.996,0.996
9,0.272458553314209,0.9865,0.997,0.997
10,0.22356807254254818,0.98775,0.997,0.997
11,0.18108440563082695,0.99,0.998,0.998
12,0.1461111642420292,0.98925,0.998,0.998
13,0.11738339345902205,0.9905,0.998,0.998
14,0.09445188008248806,0.992,0.998,0.998
15,0.07675146218389273,0.9925,0.998,0.998
16,0.06294284900650382,0.99325,0.998,0.998
17,0.05221808794885874,0.995,0.998,0.998
18,0.04370149364694953,0.9955,0.998,0.998
19,0.03703036438673735,0.996,0.998,0.998
20,0.032091111643239856,0.9965,0.998,0.998
